02963183,,,,,,,[]
02992817,,,,,,,[]
03003396,,,,,,,[]
03013359,,,,,,,[]
03014835,,,,,,,[]
03016188,,,,,,,[]
02963183,Spolek Javor,,381,Javornice,51711,2014-06-12,[]
02963183,Spolek Javor,,381,Javornice,51711,2014-06-12,[]
02992817,"Společenství vlastníků jednotek V Háji 41/1202, Praha 7",V háji,1202,Praha 7,17000,2014-06-07,[]
03003396,"J.A.Míšánek, z.s.",Malé paseky,1350,Dobříš,26301,2014-06-12,[]
03013359,Společenství vlastníků Sokolská 37 Znojmo,Sokolská,1320,Znojmo,66902,2014-06-10,[]
03014835,Přátelé sportu Nučice z.s.,Tyršova,112,Nučice,25216,2014-06-11,[]
03016188,"Společenství vlastníků Voděradská 390/11, Praha 10",Voděradská,390,Praha 10,10000,2014-06-13,[]
03019853,Společenství vlastníků u Centrumu 2034-2035,tř. Těreškovové,2035,Karviná,73401,2014-06-12,[]
03023575,"Společenství vlastníků Konopišťská 1059/15, Praha 10",Konopišťská,1059,Praha 10,10000,2014-06-13,[]
03029107,Tunkl production z. s.,Strejcova,353,Zábřeh,78901,2014-06-13,[]
03029573,Askiburgion z.s.,Tyršova,319,Jeseník,79001,2014-06-13,[]
03029905,"Chatová osada za vodou, z.s.",Zlatá stezka,49,Ústí nad Labem,40321,2014-06-13,[]
03030288,Multisportovní Spolek Hanušovice,Nádražní,118,Hanušovice,78833,2014-06-12,[]
03031195,NOVA-KLINIK DENT s.r.o.,Poděbradská,777,Praha 9,19000,2014-06-13,[]
03033899,SKYDIVE TÁBOR z.s.,Nad Nechybou,1230,Sezimovo Ústí,39102,2014-06-12,[]
03033911,Třeboňský mezioborový spolek,Dukelská,630,České Budějovice,37001,2014-06-12,[]
03033988,Mazlíci z.s.,J. Bendy,1374,České Budějovice,37005,2014-06-12,[]
03036251,"Sdružení přátel Fokusu Písek, z.s.",Kollárova,485,Písek,39701,2014-06-13,[]
03064085,SKY NET  LOGISTICS s.r.o.,Ve Smečkách,1767,Praha 1,11000,2014-06-04,[]
03064794,RP 4 Waste s.r.o.,Dlouhá,307,Ořech,25225,2014-06-12,[]
03084515,FABRIKA EUROPE s.r.o.,Poličanská,1487,Praha 9,19016,2014-06-11,[]
03086798,CBCYKLO s.r.o.,,83,Litvínovice,37001,2014-06-13,[]
03086852,ISLANEO s.r.o.,Ovocný trh,572,Praha 1,11000,2014-06-12,[]
03086933,DERKYL s.r.o.,Ovocný trh,572,Praha 1,11000,2014-06-12,[]
03093212,MGM COMPRO s.r.o.,Růžová,307,Zlín,76302,2014-06-12,[]
03093379,"Lecomte capital system, s.r.o.",Farského,1121,Praha 7,17000,2014-06-12,[]
03093425,POINT TCH121 s.r.o.,Sokolovská,231,Praha 8,18600,2014-06-12,[]
03093506,TR Partners s.r.o.,Hájecká,47,Červený Újezd,27351,2014-06-13,[]
03093859,"Moody's Investors Service EMEA Limited, odštěpný závod",Washingtonova,1599,Praha 1,11000,2014-06-11,[]
03095444,CZECH SURF s.r.o.,Buchlovská,9,Velehrad,68706,2014-06-12,[]
03097188,Smileland s.r.o.,bratří Čapků,384,Brno,60200,2014-06-12,[]
03102149,"MOSTRADING LLP, odštěpný závod",Václavské náměstí,799,Praha 1,11000,2014-06-13,[]
